length,count
72113,1
46335,1
15795,1
15105,1
9326,2
7563,1
7171,2
6470,1
6137,1
4393,1
4360,1
4353,1
4253,2
4165,2
3755,1
3608,2
3588,1
3584,2
3567,1
3544,2
3348,1
3333,1
3332,1
3220,1
3217,3
3216,4
3198,3
3189,3
3188,2
3170,3
3166,1
3142,1
3113,1
3095,2
3026,1
3013,2
2977,2
2945,1
2941,1
2934,3
2911,1
2902,3
2889,1
2888,2
2838,2
2803,1
2702,1
2643,1
2639,1
2634,1
2609,1
2508,1
2459,1
2451,1
2426,1
2419,3
2400,1
2396,1
2305,1
2270,1
2237,2
2202,2
2188,1
2179,1
2157,1
2154,1
2153,1
2135,1
2120,1
2118,2
2115,3
2109,1
2103,1
2102,1
2063,1
2058,1
2056,2
2025,1
2013,1
1953,2
1947,2
1945,1
1921,1
1915,3
1828,2
1826,2
1809,1
1802,1
1800,1
1792,1
1764,1
1762,2
1727,3
1719,1
1714,2
1712,1
1709,1
1705,1
1698,1
1695,4
1692,3
1687,1
1685,1
1682,1
1678,1
1672,1
1671,1
1657,1
1651,1
1649,1
1643,1
1632,1
1630,1
1628,1
1623,1
1600,1
1598,1
1595,1
1552,1
1545,2
1520,2
1517,1
1510,1
1505,1
1503,1
1502,2
1484,1
1471,1
1461,1
1460,1
1455,4
1451,1
1442,1
1435,2
1434,4
1430,1
1422,1
1410,1
1409,1
1397,1
1387,2
1382,1
1376,1
1359,1
1346,2
1337,2
1328,1
1316,2
1314,2
1312,1
1310,1
1305,1
1301,1
1299,1
1298,1
1295,1
1278,2
1274,1
1271,1
1270,2
1268,1
1265,2
1264,2
1262,2
1261,1
1257,1
1256,1
1248,3
1246,8
1242,2
1234,1
1233,1
1223,1
1221,1
1220,1
1215,1
1212,2
1209,1
1195,3
1192,2
1191,1
1190,1
1188,1
1176,3
1162,2
1159,1
1152,1
1148,2
1142,2
1140,1
1138,1
1136,1
1128,2
1119,1
1118,1
1117,1
1113,1
1109,1
1108,1
1104,3
1101,1
1098,2
1087,1
1081,1
1079,1
1077,1
1072,1
1068,1
1067,1
1065,1
1064,1
1061,1
1060,2
1056,1
1051,1
1050,1
1042,1
1039,1
1032,1
1030,1
1029,1
1023,2
1022,2
1019,3
1016,5
1008,2
1006,1
1002,1
1001,2
997,2
995,1
982,2
980,1
969,1
967,2
965,1
963,3
962,1
961,1
957,1
955,1
951,1
948,1
947,1
946,2
933,1
932,1
930,1
927,2
925,1
922,1
920,2
918,3
916,1
912,1
907,1
904,1
903,1
898,1
897,1
896,2
895,2
893,1
891,1
890,2
886,1
881,1
875,1
872,1
869,3
868,1
867,2
866,2
864,1
863,3
860,1
857,2
854,1
847,1
846,1
845,1
844,2
843,2
840,1
835,2
834,1
831,1
827,2
826,1
825,1
823,1
822,2
819,1
818,1
814,1
813,3
811,1
809,3
808,1
806,1
803,1
801,1
800,3
798,2
797,2
795,3
794,4
791,1
788,1
785,1
783,1
782,2
780,1
779,2
778,1
777,3
775,2
774,8
773,2
771,1
770,1
769,1
768,2
767,1
766,3
765,3
762,2
761,3
760,1
759,1
758,1
757,2
756,2
755,7
753,2
748,1
745,1
744,1
741,2
740,5
739,3
737,1
736,2
735,1
734,2
732,2
731,1
729,1
728,2
726,2
725,1
724,1
723,3
721,4
718,2
717,1
713,1
712,6
710,3
709,2
708,1
707,3
703,1
701,2
700,1
699,7
698,3
696,4
695,2
694,4
692,4
691,2
690,7
689,3
688,4
687,2
686,1
685,3
684,16
683,1
682,2
681,1
679,3
676,1
675,10
674,1
