exp_length,count
72570,1
72380,1
72379,3
72374,1
72359,1
72327,1
72324,1
72255,1
72239,1
72237,1
72236,1
72235,3
72229,1
72225,1
72219,1
72216,1
72203,1
72198,1
72197,1
72195,1
72194,2
72193,1
72192,1
72190,2
72189,2
72185,1
72182,1
72181,1
72172,1
72168,1
72167,1
72161,1
72158,1
72156,1
72136,2
72113,1
57316,1
46792,1
46681,1
46612,1
46600,1
46582,1
46567,1
46552,2
46550,1
46546,1
46527,1
46479,1
46478,1
46437,1
46421,1
46418,1
46415,1
46405,1
46404,1
46397,1
46396,1
46390,2
46389,1
46385,1
46382,1
46381,1
46358,1
46357,1
46335,1
33175,1
32976,1
32642,1
32281,1
32267,1
32227,1
32223,1
32219,1
32214,1
32210,1
32190,1
31927,1
31857,1
31796,1
31795,1
31793,1
31772,1
31746,1
31745,1
31744,1
31741,1
31737,1
23781,1
21701,1
20759,1
18124,1
16549,1
16532,1
16362,1
15856,1
15845,1
15824,1
15818,1
15817,1
15795,1
15177,1
15175,3
15163,2
15160,1
15105,1
14390,1
13532,1
12822,1
12801,1
12778,1
10602,1
10298,1
10295,1
10285,1
10271,1
9342,1
9326,1
8373,1
8372,1
8371,1
8362,1
8347,1
8340,1
8227,2
8221,1
8191,1
8169,1
8121,1
7804,1
7798,2
7704,1
7563,1
7416,1
7002,1
6825,1
6805,1
6789,1
6602,1
6583,1
6563,1
6536,1
6531,3
6470,1
6355,1
6310,1
6309,1
6291,1
6273,1
6269,1
6258,1
6250,1
6227,1
6220,1
6159,1
6000,1
5919,1
5911,1
5910,2
5905,1
5738,1
5732,1
5638,2
5225,1
5221,2
5211,1
5178,2
5135,1
5132,2
5131,1
5090,1
5089,2
4959,1
4933,1
4778,1
4546,1
4454,1
4437,2
4403,1
4401,2
4365,1
4360,1
4353,1
4352,1
4336,1
4253,1
4206,1
4187,1
4169,1
4165,1
4155,2
4154,1
4153,12
4152,1
4129,1
4128,2
4124,1
4114,1
4109,1
4101,1
4058,1
4023,1
4004,1
3984,1
3980,1
3978,1
3958,1
3957,1
3949,1
3936,2
3930,1
3902,2
3843,1
3833,1
3755,1
3744,1
3705,2
3698,1
3687,1
3621,2
3577,1
3562,1
3561,1
3560,1
3544,2
3528,1
3525,3
3524,4
3506,3
3474,1
3454,1
3434,1
3419,2
3380,1
3372,1
3354,1
3347,1
3345,2
3330,1
3303,1
3302,1
3282,1
3277,1
3275,1
3265,1
3264,1
3263,1
3250,1
3242,1
3219,1
3209,1
3208,1
3189,3
3188,2
3175,1
3172,1
3170,3
3165,1
3164,1
3151,2
3144,1
3142,1
3136,1
3135,3
3133,2
3131,1
3128,1
3120,1
3119,2
3116,1
3111,2
3102,1
3098,1
3094,1
3093,1
3090,1
3089,1
3082,1
3081,1
3080,1
3075,1
3069,1
3064,1
3062,1
3055,2
3050,1
3039,1
3035,1
3034,1
3029,2
3026,1
3019,1
3017,1
3015,1
3014,1
3013,1
3011,1
3005,1
3004,1
2992,1
2976,1
2970,1
2956,1
2948,1
2945,1
2936,1
2933,2
2931,2
2929,1
2910,1
2903,1
2902,1
2901,1
2887,1
2872,1
2871,1
2870,2
2838,1
2822,1
2799,1
2761,1
2719,1
2715,1
2689,1
2688,1
2665,1
2661,1
2656,1
2631,1
2519,2
2513,2
2508,1
2491,1
2477,1
2472,1
2458,1
2450,1
2448,1
2446,1
2440,1
2431,1
2422,1
2418,1
2411,1
2410,1
2401,1
2400,1
2391,2
2387,1
2386,2
2384,2
2370,1
2369,1
2351,1
2337,1
2327,1
2324,1
2321,2
2320,1
2317,2
2315,2
2292,1
2287,1
