ops,count
1477,1
1475,1
752,1
751,2
750,1
749,2
748,1
747,1
746,1
740,2
738,63
737,12
736,1
585,1
565,1
560,3
559,19
558,2
557,2
517,31
516,9
515,2
506,1
489,1
372,3
360,1
346,1
345,1
343,1
342,1
316,1
313,1
312,1
293,1
291,1
249,3
204,1
201,4
200,1
198,3
197,2
196,5
195,6
194,6
193,19
192,7
191,9
190,20
189,18
188,4
187,5
186,3
161,2
157,1
156,1
154,1
152,1
150,1
149,2
148,1
145,1
142,4
141,3
140,1
137,1
134,1
117,1
103,1
100,2
96,5
94,1
83,1
79,1
74,2
69,15
68,3
67,1
64,3
59,3
58,4
57,7
54,1
53,2
50,1
49,2
48,6
44,3
42,1
41,1
40,1
39,7
38,7
37,1
36,8
35,4
33,5
32,10
31,17
30,6
29,4
28,16
27,6
26,38
25,25
24,11
23,12
22,5
21,33
20,27
19,37
18,50
17,37
16,40
15,50
14,57
13,70
12,86
11,119
10,151
9,160
8,155
7,287
6,338
5,499
4,1168
3,3164
2,2672
1,6657
0,2610
